Query,Persona,Intent,Complexity,Entities,Route,Notes
schools known for grade inflation,counselor_teacher,attribute_lookup,medium,{},llm,academic rigor
stanford vs mit selectivity,counselor_teacher,comparison,complex,"{schools:[Stanford,MIT]}",comparison_engine,compare selectivity
what makes a good safety school,counselor_teacher,guidance,medium,{},llm,advising
schools with strong stem advising,counselor_teacher,recommendation,complex,{program:STEM},agentic,recommendations
test optional colleges list,counselor_teacher,filtered_search,medium,{},search,policy-based
contextual admissions factors,counselor_teacher,guidance,complex,{},llm,conceptual
how counselors evaluate fit,counselor_teacher,guidance,complex,{},llm,process
best schools for data science careers,advisor,career_outcomes,medium,{},llm,outcomes
finance target schools list,advisor,career_outcomes,medium,{},llm,outcomes
schools like carnegie mellon for ai,advisor,recommendation,complex,"{reference:CMU,field:AI}",agentic,needs recommendations
top quantitative finance programs,advisor,filtered_search,medium,{field:quant finance},search,1–2 filters
non ivy elite universities,advisor,recommendation,complex,{},agentic,recommendations
duke vs northwestern outcomes,advisor,comparison,complex,"{schools:[Duke,Northwestern]}",comparison_engine,compare outcomes
how recruiters view school prestige,advisor,guidance,medium,{},llm,career guidance
schools with strong alumni referrals,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
national vs regional pipelines,advisor,guidance,complex,{},llm,conceptual
career outcomes vs rankings,advisor,guidance,complex,{},llm,advising
enterprise onboarding timeline,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
institutional profile api docs,college_b2b,profile_management,medium,{},b2b_portal,B2B
analytics for admissions funnel,college_b2b,analytics_request,complex,{},analytics,B2B data
benchmarking against peer set,college_b2b,comparison,complex,{},comparison_engine,B2B benchmarking
integrate search into crm,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
student interest heatmaps,college_b2b,analytics_request,complex,{},analytics,B2B data
how schools appear in recommendations,college_b2b,guidance,medium,{},llm,B2B logic
optimize discoverability in search,college_b2b,recommendation,complex,{},agentic,B2B strategy
partnership contract terms,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
bulk data export options,college_b2b,profile_management,medium,{},b2b_portal,B2B
yale,high_school_student,exact_lookup,short_circuit,{school:Yale},typesense_only,simple entity
uc davis acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:UC Davis,metric:acceptance_rate}",typesense_only,single attribute
schools in arizona,high_school_student,filtered_search,medium,{location:Arizona},search,1–2 filters
low cost colleges with strong biology programs,high_school_student,multi_constraint,complex,"{program:biology,cost:low}",agentic,multi-constraint
ucsb vs ucsd,high_school_student,comparison,complex,"{schools:[UCSB,UCSD]}",comparison_engine,compare entities
schools like notre dame but not religious,high_school_student,recommendation,complex,"{reference:Notre Dame,exclude:religious}",agentic,needs recommendations
does class rank matter for admissions,high_school_student,admissions_process,medium,{},llm,admissions weighting
how to find local scholarships,high_school_student,cost_financial_aid,medium,{},llm,cost aid
schools with friendly people,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for biomedical engineering jobs,high_school_student,career_outcomes,medium,{program:BME},llm,outcomes
middlebury,college_student,exact_lookup,short_circuit,{school:Middlebury},typesense_only,simple entity
pepperdine tuition,college_student,attribute_lookup,short_circuit,"{school:Pepperdine,attribute:tuition}",typesense_only,single attribute
schools in northern california,college_student,filtered_search,medium,{location:Northern California},search,1–2 filters
colleges with strong humanities and research,college_student,multi_constraint,complex,"{field:humanities,research:true}",agentic,multi-constraint
tufts vs brandeis,college_student,comparison,complex,"{schools:[Tufts,Brandeis]}",comparison_engine,compare entities
schools like usc but smaller class sizes,college_student,recommendation,complex,"{reference:USC,class_size:small}",agentic,needs recommendations
what is priority deadline,college_student,admissions_process,medium,{},llm,admissions concept
how to qualify for in state tuition,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with strong academic communities,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with high phd placement rates,college_student,career_outcomes,medium,{},llm,outcomes
georgetown,parent,exact_lookup,short_circuit,{school:Georgetown},typesense_only,simple entity
does tulane require on campus housing,parent,attribute_lookup,short_circuit,"{school:Tulane,attribute:housing}",typesense_only,parent framing
colleges within driving distance,parent,filtered_search,medium,{location:driving_distance},search,1–2 filters
academically rigorous colleges with support services,parent,multi_constraint,complex,"{academics:rigorous,support:true}",agentic,multi-constraint
nyu vs boston university cost,parent,comparison,complex,"{schools:[NYU,BU],metric:cost}",comparison_engine,compare cost
colleges good for independent students,parent,recommendation,complex,{},agentic,needs recommendations
how parent assets affect financial aid,parent,cost_financial_aid,medium,{},llm,cost aid
schools with strong first year advising,parent,campus_life_fit,llm_needed,{},llm,subjective fit
career outcomes for social science majors,parent,career_outcomes,medium,{},llm,outcomes
waitlist decision timeline,parent,admissions_process,medium,{},llm,admissions timeline
what is institutional priority,counselor_teacher,admissions_process,medium,{},llm,counselor terminology
colleges in the plains states,counselor_teacher,filtered_search,medium,{location:Plains},search,1–2 filters
examples of reach schools,counselor_teacher,guidance,medium,{},llm,advising
schools known for academic rigor,counselor_teacher,attribute_lookup,medium,{},llm,academic rigor
oxford style vs us colleges,counselor_teacher,guidance,complex,{},llm,conceptual
caltech vs mit academics,counselor_teacher,comparison,complex,"{schools:[Caltech,MIT]}",comparison_engine,compare academics
stem safety school examples,counselor_teacher,recommendation,complex,{program:STEM},agentic,recommendations
schools that consider demonstrated interest heavily,counselor_teacher,filtered_search,medium,{},search,policy-based
how context is evaluated in admissions,counselor_teacher,guidance,complex,{},llm,process
prestige vs program quality,counselor_teacher,guidance,complex,{},llm,advising
best schools for ux design careers,advisor,career_outcomes,medium,{},llm,outcomes
top public universities for tech jobs,advisor,career_outcomes,medium,{},llm,outcomes
schools like berkeley for research,advisor,recommendation,complex,{reference:Berkeley},agentic,needs recommendations
top engineering programs midwest,advisor,filtered_search,medium,"{program:engineering,location:Midwest}",search,1–2 filters
elite public universities list,advisor,filtered_search,medium,{},search,category
washu vs vanderbilt outcomes,advisor,comparison,complex,"{schools:[WashU,Vanderbilt]}",comparison_engine,compare outcomes
how employers weigh gpa vs school,advisor,guidance,medium,{},llm,career guidance
schools with strong mentorship culture,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
regional alumni influence,advisor,guidance,complex,{},llm,conceptual
ranking volatility over time,advisor,guidance,complex,{},llm,advising
partner onboarding checklist,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
institutional data refresh schedule,college_b2b,profile_management,medium,{},b2b_portal,B2B
market demand analytics by region,college_b2b,analytics_request,complex,{},analytics,B2B data
compare application trends year over year,college_b2b,analytics_request,complex,{},analytics,B2B data
integration with sis systems,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
visibility in recommendation engine,college_b2b,guidance,medium,{},llm,B2B logic
peer institution grouping logic,college_b2b,comparison,complex,{},comparison_engine,B2B benchmarking
improve student match quality,college_b2b,recommendation,complex,{},agentic,B2B strategy
enterprise support options,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
historical data export,college_b2b,profile_management,medium,{},b2b_portal,B2B
columbia university,high_school_student,exact_lookup,short_circuit,{school:Columbia},typesense_only,simple entity
uiuc acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:UIUC,metric:acceptance_rate}",typesense_only,single attribute
schools in colorado,high_school_student,filtered_search,medium,{location:Colorado},search,1–2 filters
affordable colleges with strong environmental science,high_school_student,multi_constraint,complex,"{program:environmental science,cost:low}",agentic,multi-constraint
uw madison vs uiuc,high_school_student,comparison,complex,"{schools:[UW Madison,UIUC]}",comparison_engine,compare entities
schools like northeastern but without co op,high_school_student,recommendation,complex,"{reference:Northeastern,exclude:co-op}",agentic,needs recommendations
do colleges recalculate gpa,high_school_student,admissions_process,medium,{},llm,admissions evaluation
how early should i start college essays,high_school_student,admissions_process,medium,{},llm,planning
schools with low stress culture,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for sustainability careers,high_school_student,career_outcomes,medium,{field:sustainability},llm,outcomes
amherst college,college_student,exact_lookup,short_circuit,{school:Amherst},typesense_only,simple entity
georgia tech housing,college_student,attribute_lookup,short_circuit,"{school:Georgia Tech,attribute:housing}",typesense_only,single attribute
schools in the great lakes region,college_student,filtered_search,medium,{location:Great Lakes},search,1–2 filters
small colleges with strong stem outcomes,college_student,multi_constraint,complex,"{school_type:small,program:STEM}",agentic,multi-constraint
penn state vs ohio state,college_student,comparison,complex,"{schools:[Penn State,Ohio State]}",comparison_engine,compare entities
schools like uva but less competitive,college_student,recommendation,complex,"{reference:UVA,selectivity:lower}",agentic,needs recommendations
what is common app early action,college_student,admissions_process,medium,{},llm,admissions concept
how to appeal merit scholarship decisions,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with strong peer collaboration,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with strong law school placement,college_student,career_outcomes,medium,{},llm,outcomes
american university,parent,exact_lookup,short_circuit,{school:American University},typesense_only,simple entity
does villanova require freshmen housing,parent,attribute_lookup,short_circuit,"{school:Villanova,attribute:housing}",typesense_only,parent framing
colleges near major hospitals,parent,filtered_search,medium,{location:near_hospitals},search,1–2 filters
academically challenging but supportive colleges,parent,multi_constraint,complex,"{academics:challenging,support:true}",agentic,multi-constraint
tulane vs miami cost,parent,comparison,complex,"{schools:[Tulane,Miami],metric:cost}",comparison_engine,compare cost
good colleges for undecided students,parent,recommendation,complex,{},agentic,needs recommendations
how siblings affect financial aid,parent,cost_financial_aid,medium,{},llm,cost aid
schools with strong disability services,parent,campus_life_fit,llm_needed,{},llm,subjective fit
college job placement statistics,parent,career_outcomes,medium,{},llm,outcomes
deposit deadline extensions,parent,admissions_process,medium,{},llm,admissions logistics
average sat score ranges by tier,counselor_teacher,attribute_lookup,medium,{},llm,contextual metric
colleges in the mid atlantic,counselor_teacher,filtered_search,medium,{location:Mid-Atlantic},search,1–2 filters
how to build a balanced college list,counselor_teacher,guidance,medium,{},llm,advising
schools known for collaborative grading,counselor_teacher,attribute_lookup,medium,{},llm,academic culture
ivy league vs ivy plus,counselor_teacher,guidance,complex,{},llm,conceptual
princeton vs yale academic culture,counselor_teacher,comparison,complex,"{schools:[Princeton,Yale]}",comparison_engine,compare culture
stem programs with high retention,counselor_teacher,recommendation,complex,{program:STEM},agentic,recommendations
schools that publish cds data,counselor_teacher,filtered_search,medium,{},search,policy-based
how adversity is weighed in admissions,counselor_teacher,guidance,complex,{},llm,process
fit vs outcomes in advising,counselor_teacher,guidance,complex,{},llm,advising
best schools for biotech careers,advisor,career_outcomes,medium,{},llm,outcomes
top public universities for consulting,advisor,career_outcomes,medium,{},llm,outcomes
schools like mit for applied research,advisor,recommendation,complex,{reference:MIT},agentic,needs recommendations
top information science programs,advisor,filtered_search,medium,{field:information science},search,1–2 filters
high roi non ivy schools,advisor,recommendation,complex,{},agentic,recommendations
ucla vs berkeley career placement,advisor,comparison,complex,"{schools:[UCLA,Berkeley]}",comparison_engine,compare outcomes
how recruiters evaluate transcripts,advisor,guidance,medium,{},llm,career guidance
schools with strong faculty industry ties,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
regional vs national job markets,advisor,guidance,complex,{},llm,conceptual
program reputation vs school reputation,advisor,guidance,complex,{},llm,advising
partner success metrics,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
institutional branding guidelines,college_b2b,profile_management,medium,{},b2b_portal,B2B
enrollment funnel analytics,college_b2b,analytics_request,complex,{},analytics,B2B data
compare inquiry to enrollment rates,college_b2b,analytics_request,complex,{},analytics,B2B data
integration with marketing automation,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
ranking visibility insights,college_b2b,analytics_request,medium,{},analytics,B2B data
recommendation weighting factors,college_b2b,guidance,medium,{},llm,B2B logic
improve applicant quality signals,college_b2b,recommendation,complex,{},agentic,B2B strategy
enterprise sla options,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
historical admissions dataset access,college_b2b,profile_management,medium,{},b2b_portal,B2B
harvey mudd,high_school_student,exact_lookup,short_circuit,{school:Harvey Mudd},typesense_only,simple entity
uc irvine acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:UC Irvine,metric:acceptance_rate}",typesense_only,single attribute
schools in nevada,high_school_student,filtered_search,medium,{location:Nevada},search,1–2 filters
affordable colleges with strong data science,high_school_student,multi_constraint,complex,"{program:data science,cost:low}",agentic,multi-constraint
uc berkeley vs stanford,high_school_student,comparison,complex,"{schools:[UC Berkeley,Stanford]}",comparison_engine,compare entities
schools like rice but larger,high_school_student,recommendation,complex,"{reference:Rice,size:larger}",agentic,needs recommendations
how much do aps actually help,high_school_student,admissions_process,medium,{},llm,admissions weighting
when should i take the sat again,high_school_student,admissions_process,medium,{},llm,testing strategy
schools with balanced academics and social life,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for climate science careers,high_school_student,career_outcomes,medium,{field:climate science},llm,outcomes
grinnell college,college_student,exact_lookup,short_circuit,{school:Grinnell},typesense_only,simple entity
uc santa cruz housing,college_student,attribute_lookup,short_circuit,"{school:UC Santa Cruz,attribute:housing}",typesense_only,single attribute
schools in the southwest,college_student,filtered_search,medium,{location:Southwest},search,1–2 filters
liberal arts colleges with strong cs outcomes,college_student,multi_constraint,complex,"{school_type:LAC,program:CS}",agentic,multi-constraint
colgate vs hamilton,college_student,comparison,complex,"{schools:[Colgate,Hamilton]}",comparison_engine,compare entities
schools like boston college but public,college_student,recommendation,complex,"{reference:Boston College,school_type:public}",agentic,needs recommendations
what is priority waitlist,college_student,admissions_process,medium,{},llm,admissions concept
how work study affects aid package,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with strong writing culture,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with high fulbright placement,college_student,career_outcomes,medium,{},llm,outcomes
loyola marymount,parent,exact_lookup,short_circuit,{school:Loyola Marymount},typesense_only,simple entity
does fordham require on campus housing,parent,attribute_lookup,short_circuit,"{school:Fordham,attribute:housing}",typesense_only,parent framing
colleges near military bases,parent,filtered_search,medium,{location:near_military_base},search,1–2 filters
academically solid schools with small class sizes,parent,multi_constraint,complex,"{academics:solid,class_size:small}",agentic,multi-constraint
case western vs rochester,parent,comparison,complex,"{schools:[Case Western,Rochester]}",comparison_engine,compare entities
good colleges for students with adhd,parent,recommendation,complex,{},agentic,needs recommendations
how home equity affects financial aid,parent,cost_financial_aid,medium,{},llm,cost aid
schools with strong accessibility services,parent,campus_life_fit,llm_needed,{},llm,subjective fit
job placement for engineering majors,parent,career_outcomes,medium,{program:engineering},llm,outcomes
how long waitlist decisions take,parent,admissions_process,medium,{},llm,admissions timeline
how colleges define academic rigor,counselor_teacher,guidance,medium,{},llm,advising
schools in appalachian region,counselor_teacher,filtered_search,medium,{location:Appalachian},search,1–2 filters
examples of likely schools,counselor_teacher,guidance,medium,{},llm,advising
colleges known for grade deflation,counselor_teacher,attribute_lookup,medium,{},llm,academic rigor
ivy plus vs elite publics,counselor_teacher,guidance,complex,{},llm,conceptual
